age,layer,probability,rank
22.90327632763276,basal layers,0.5732224671133339,1
22.90327632763276,basal layers,0.5732224671133339,1
22.90352235223522,Haycock,0.009621284760062835,4
22.90352235223522,pseudotachylyte,0.9780017608006576,3
22.90352235223522,andesite,0.8903341840206682,2
22.90352235223522,andesite,0.8903341840206682,2
22.90352235223522,basal layers,0.5733513226216396,1
22.90352235223522,basal layers,0.5733513226216396,1
22.90352235223522,basal layers,0.5733513226216396,1
22.90352235223522,basal layers,0.5733513226216396,1
22.903768376837682,Haycock,0.009290934983624651,4
22.903768376837682,pseudotachylyte,0.9781253736341776,3
22.903768376837682,andesite,0.8908351845651129,2
22.903768376837682,andesite,0.8908351845651129,2
22.903768376837682,basal layers,0.5734754027507578,1
22.903768376837682,basal layers,0.5734754027507578,1
22.903768376837682,basal layers,0.5734754027507578,1
22.903768376837682,basal layers,0.5734754027507578,1
22.904014401440143,Haycock,0.008970753140058277,4
22.904014401440143,pseudotachylyte,0.9782486498515054,3
22.904014401440143,andesite,0.8913352498864809,2
22.904014401440143,andesite,0.8913352498864809,2
22.904014401440143,basal layers,0.5735947043884374,1
22.904014401440143,basal layers,0.5735947043884374,1
22.904014401440143,basal layers,0.5735947043884374,1
22.904014401440143,basal layers,0.5735947043884374,1
22.9042604260426,Haycock,0.008660471225160822,4
22.9042604260426,pseudotachylyte,0.9783715893214316,3
22.9042604260426,andesite,0.8918343780937326,2
22.9042604260426,andesite,0.8918343780937326,2
22.9042604260426,basal layers,0.5737092245418818,1
22.9042604260426,basal layers,0.5737092245418818,1
22.9042604260426,basal layers,0.5737092245418818,1
22.9042604260426,basal layers,0.5737092245418818,1
22.904506450645062,Haycock,0.008359826666108596,4
22.904506450645062,pseudotachylyte,0.9784941919131005,3
22.904506450645062,andesite,0.8923325672986303,2
22.904506450645062,andesite,0.8923325672986303,2
22.904506450645062,basal layers,0.5738189603378815,1
22.904506450645062,basal layers,0.5738189603378815,1
22.904506450645062,basal layers,0.5738189603378815,1
22.904506450645062,basal layers,0.5738189603378815,1
22.904752475247523,Haycock,0.008068562268752208,4
